CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC214,Lovu,1,20,10,1,1,64,0,7,5,NA,0.5,0,1,1,0,0,0,0,0
CERC215,Lovu,1,18,12,1,1,50,0,2,10,1,NA,1,0,1,1,1,0,0,0
CERC216,Lovu,1,17,13,1,1,34,0,2,12,NA,NA,0,0,0,0,1,0,0,0
CERC217,Lovu,1,16,14,1,1,42,0,2,12,NA,0.5,0,1,1,0,0,0,0,0
CERC218,Lovu,1,13,17,1,1,57,0,5,8,NA,1,0,1,1,1,0,0,0,0
CERC219,Lovu,1,10,20,1,1,60,1,1,0,1,1,1,1,2,0,0,0,0,0
CERC22,Coastal Tanna,1,13,17,1,1,51,0,5,6,NA,NA,0,0,0,0,1,0,0,0
CERC220,Lovu,1,13,17,1,1,68,1,0,7,0.5,NA,1,0,1,0,0,0,0,0
CERC221,Lovu,1,16,14,1,1,65,0,5,0,NA,NA,0,0,0,1,1,0,0,0
CERC222,Lovu,1,17,13,1,1,46,0,2,11,NA,NA,0,0,0,0,1,0,0,0
CERC223,Lovu,1,18,12,1,1,28,1,2,8,1,0.333333333,1,1,2,1,0,0,0,0
CERC224,Lovu,1,12,18,1,1,60,1,5,8,NA,1,0,1,1,1,0,0,0,0
CERC225,Lovu,1,14,16,1,1,67,0,4,0,1,NA,1,0,1,0,0,0,0,0
CERC226,Lovu,1,17,13,0.5,1,63,0,5,6,NA,0.666666667,0,1,1,1,1,0,0,0
CERC227,Lovu,1,20,10,1,1,60,1,2,7,NA,0.75,0,1,1,0,0,0,0,0
CERC228,Lovu,1,15,15,1,1,21,1,NA,6,0.5,0.5,1,1,2,0,1,0,0,0
CERC229,Lovu,1,14,16,1,1,50,0,2,11,NA,NA,0,0,0,0,0,0,0,0
CERC23,Coastal Tanna,1,12,18,0.5,1,30,0,3,7,NA,NA,0,0,0,0,1,0,0,0
CERC230,Lovu,1,10,20,0.5,1,35,0,1,12,NA,0.25,0,1,1,1,0,0,0,0
CERC231,Lovu,1,13,17,1,1,42,0,2,6,NA,NA,0,0,0,1,1,0,0,0
CERC232,Lovu,1,14,16,1,1,48,0,2,11,1,1,1,1,2,0,0,0,0,0
CERC233,Lovu,1,19,11,1,1,31,0,4,10,NA,NA,0,0,0,0,1,0,0,0
CERC234,Lovu,1,21,9,0.5,1,83,0,6,0,0.25,NA,1,0,1,0,0,0,0,0
CERC235,Lovu,1,13,17,1,1,30,0,1,14,1,0.75,1,1,2,1,1,0,0,0
CERC236,Lovu,1,19,11,0,1,20,0,2,11,NA,NA,0,0,0,0,0,0,0,0
CERC237,Lovu,1,11,19,0,1,53,0,3,12,1,0.5,1,1,2,1,1,0,0,0
